"Ticker","Nome","Negócios","Última (R$)","Variação"
"GRND3","Grendene","864.600","5,31","-0,93%"
"PLPL3","Plano&Plano","860.100","12,93","-1,30%"
"ODPV3","Odontoprev","846.700","10,32","-4,18%"
"CSED3","Cruzeiro do Sul Educacional","810.400","3,30","+0,92%"
"JFEN3","João Fortes","810.100","4,20","+5,00%"
"JALL3","Jalles Machado","804.200","5,27","+0,00%"
"RANI3","Irani","777.200","6,88","-2,55%"
"MEAL3","IMC Alimentação","775.700","1,27","-5,93%"
"HBRE3","HBR Realty","738.000","4,26","+0,47%"
"ZAMP3","Zamp","714.000","2,80","+0,00%"
"BRIT3","Brisanet","675.600","3,30","+1,54%"
"ENJU3","Enjoei","675.200","1,16","-4,13%"
"ITUB3","Itaú Unibanco","656.400","29,88","-0,70%"
"ALUP11","Alupar","647.100","28,56","+0,21%"
"BMGB4","Banco BMG","643.900","4,00","+0,25%"
"MELK3","Melnick","619.000","3,70","+0,00%"
"PGMN3","Pague Menos","608.300","3,13","-2,19%"
"MDNE3","Moura Dubeux","605.400","14,66","+1,17%"
"LOGG3","LOG CP","586.200","22,14","+2,50%"
"AMAR3","Lojas Marisa","569.200","0,91","-3,19%"
"SEER3","Ser Educacional","555.900","6,60","-3,65%"
"TRIS3","Trisul","546.900","5,60","-1,06%"
"LEVE3","Mahle Metal Leve","522.100","27,94","-0,04%"
"NEOE3","Neoenergia","501.600","19,10","+0,58%"
"VLID3","Valid","478.300","24,51","-2,16%"
"UNIP6","Unipar","477.600","48,71","+3,86%"
"SYNE3","SYN","471.700","8,48","-2,64%"
"ABCB4","Banco ABC Brasil","458.900","20,72","+0,53%"
"JSLG3","JSL","458.400","6,98","-1,97%"
"FESA4","Ferbasa","440.400","7,57","-3,69%"
"CAML3","Camil Alimentos","428.200","7,73","-1,65%"
"SHUL4","Schulz","415.000","5,82","+0,69%"
"WIZC3","Wiz Soluções","411.300","5,79","+0,35%"
"VULC3","Vulcabras","406.800","16,10","+0,25%"
"CMIG3","Cemig","400.600","15,53","+6,59%"
"PTBL3","Portobello","398.900","4,08","+0,49%"
"BRBI11","BR Partners","378.100","15,40","+3,70%"
"OPCT3","OceanPact","362.700","6,15","+0,16%"
"TASA4","Taurus","347.400","9,26","-2,11%"
"LUPA3","Lupatech","336.500","1,34","+2,29%"
"AERI3","Aeris Energy","328.300","5,49","-0,54%"
"AZEV3","Azevedo & Travassos","314.900","1,16","-1,69%"
"ESPA3","Espaçolaser","311.200","0,96","-2,04%"
"SANB3","Banco Santander","307.400","12,20","-0,89%"
"PINE4","Banco Pine","285.400","4,47","-2,83%"
"SANB4","Banco Santander","282.000","13,54","-1,74%"
"FIQE3","Unifique","267.300","3,80","-0,52%"
"VITT3","Vittia","248.800","5,84","+8,96%"
"BLAU3","Blau Farmacêutica","237.500","14,92","-4,66%"
"SAPR3","Sanepar","228.500","5,02","+1,21%"
"HBOR3","Helbor","224.500","1,80","-0,55%"
"AMBP3","Ambipar","221.200","168,31","+8,13%"
"BOBR4","Bombril","220.700","2,47","-6,08%"
"USIM3","Usiminas","218.100","5,95","-0,67%"
"TGMA3","Tegma","217.300","31,32","-0,10%"
"AGRO3","BrasilAgro","214.600","23,92","+1,36%"
